No,Sumber,Ni_sto,Co_sto,Mn_sto,sint_temp,sint_time,dop_el,dop_ionrad,dop_eln,dop_sto,xrd_a,xrd_c,del_V,init_cap,%_cr,init_cap_score,%cr_inc_score
7,Ti (Rui Du),0.776,0.097,0.097,850,20,Ti,0.605,1.54,0.03,2.8741,14.2226,1.7000000000000002,169,94,0,2
8,Ti (Rui Du),0.76,0.095,0.095,850,20,Ti,0.605,1.54,0.05,2.8773,14.2423,1.7000000000000002,158,94,0,2
10,Ti (Huabin),0.776,0.097,0.097,750,6,Ti,0.605,1.54,0.03,2.8773,14.2262,1.7999999999999998,197,84,2,2
42,Ti (Jun-Ho),0.7,0.15,0.15,800,10,Ti,0.605,1.54,,2.8696,14.213,1.2999999999999998,181,98,1,2
47,"Ti, etc (Yang Jiang)",0.784,0.098,0.098,800,10,Ti,0.605,1.54,0.02,2.8661,14.1947,1.5,169,98,0,1
69,"K, Ti (Yao)",0.8,0.1,0.1,800,16,Ti,0.605,1.54,0.05,2.8708,14.2079,1.4500000000000002,180,87,1,1
98,"Ti, B (Fangjun)",0.8,0.1,0.1,820,12,Ti,0.605,1.54,,2.8741,14.2073,1.5,175,95,1,2
126,"Ti, coat (Huiping)",0.8,0.1,0.1,830,12,Ti,0.605,1.54,0.01,2.8692,14.1921,1.5999999999999996,178,87,1,1
128,"Ti, coat (Huiping)",0.8,0.1,0.1,830,12,Ti,0.605,1.54,0.01,2.8692,14.1921,1.7999999999999998,190,80,1,2
144,"Ti, K (Wenli)",0.8,0.1,0.1,800,16,Ti,0.605,1.62,0.05,2.87084,14.20788,2.0999999999999996,180,87,1,1
49,Zr (Li),0.8,0.1,0.09,800,12,Zr,0.72,1.33,0.01,2.866,14.268,1.5,171,92,0,2
51,Ga (Liping Wu),0.8,0.1,0.08,750,15,Zr,0.72,1.33,0.02,2.8696,14.192,1.5,176,90,1,2
52,Ga (Liping Wu),0.8,0.1,0.07,750,15,Zr,0.72,1.33,0.03,2.8719,14.194,1.5,185,91,1,2
53,Ga (Liping Wu),0.8,0.1,0.06,750,15,Zr,0.72,1.33,0.04,2.8734,14.1991,1.5,173,77,0,1
101,Zr (Tao He),0.8,0.1,0.1,800,12,Zr,0.72,1.33,0.005,2.8699,14.2003,1.7000000000000002,177,84,1,1
102,Zr (Tao He),0.8,0.1,0.1,800,12,Zr,0.72,1.33,0.01,2.8707,14.2051,1.7000000000000002,176,90,1,1
103,Zr (Tao He),0.8,0.1,0.1,800,12,Zr,0.72,1.33,0.02,2.8721,14.2067,1.7000000000000002,173,82,0,1
109,Zr (Kwangjin),0.9,0.05,0.05,750,24,Zr,0.72,1.33,0.003,2.8745,14.2079,1.5499999999999998,200,94,2,2
111,"Zr, Al (Yong Ming)",0.83,0.12,0.05,780,12,Zr,0.72,1.33,0.0015,2.8714,14.1891,1.7000000000000002,203,73,2,0
146,Zr (Xing Li),0.8,0.1,0.099,800,12,Zr,0.72,1.33,0.01,2.866,14.268,1.5,171,92,0,2
